latitude,longitude,change_class_key,change_class_label,measure,unit,value,flag
48.6036,-112.3767,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,21.78081326,
47.4733,-111.3828,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.58744342,
46.6044,-111.9892,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,47.90672699,
46.3744,-117.0153,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,26.14288823,
47.6217,-117.5281,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,23.76138015,
40.8097,-124.1603,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,38.49758174,
43.4133,-124.2436,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,15.58558987,
36.78,-119.7203,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,29.48074173,
30.3975,-84.3289,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.505990911,
36.9647,-86.4239,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.1909577,
34.9892,-99.0528,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.668768772,
48.2064,-106.6247,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.63918895,
40.7789,-73.9692,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.066363467,
46.8997,-95.0669,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.00104009,
